ID,Link,Date,Sport,Country,League
xKMOrLKG,https://www.betexplorer.com/soccer/vietnam/v-league-2/pho-hien-dak-lak/xKMOrLKG/,"2022,9,25,13,00",soccer,vietnam,v-league-2
x0v7IC4R,https://www.betexplorer.com/soccer/world/club-friendly/osijek-siroki-brijeg/x0v7IC4R/,"2022,9,25,13,00",soccer,world,club-friendly
tj02EzRT,https://www.betexplorer.com/soccer/china/super-league/dalian-professional-beijing-guoan/tj02EzRT/,"2022,9,25,13,30",soccer,china,super-league
YPdfGddH,https://www.betexplorer.com/soccer/china/super-league/wuhan-three-towns-cangzhou-mighty-lions/YPdfGddH/,"2022,9,25,13,30",soccer,china,super-league
QXUxzgAn,https://www.betexplorer.com/soccer/czech-republic/cfl-group-a/ceske-budejovice-povltavska-fa/QXUxzgAn/,"2022,9,25,13,30",soccer,czech-republic,cfl-group-a
WCndIuwC,https://www.betexplorer.com/soccer/england/league-one/forest-green-exeter/WCndIuwC/,"2022,9,25,13,30",soccer,england,league-one
8d4xIwCl,https://www.betexplorer.com/soccer/germany/oberliga-schleswig-holstein/bordesholm-pansdorf/8d4xIwCl/,"2022,9,25,13,30",soccer,germany,oberliga-schleswig-holstein
U55YIJdr,https://www.betexplorer.com/soccer/germany/oberliga-schleswig-holstein/weiche-flensburg-08-inter-turkspor-kiel/U55YIJdr/,"2022,9,25,13,30",soccer,germany,oberliga-schleswig-holstein
IsvqBoR1,https://www.betexplorer.com/soccer/spain/tercera-rfef-group-12/tamaraceite-gran-tarajal/IsvqBoR1/,"2022,9,25,13,30",soccer,spain,tercera-rfef-group-12
McNm89bC,https://www.betexplorer.com/soccer/sweden/division-2-vastra-gotaland/savedalen-bk-astrio/McNm89bC/,"2022,9,25,13,30",soccer,sweden,division-2-vastra-gotaland
AHn6sQLK,https://www.betexplorer.com/soccer/vietnam/national-league-women/ho-chi-minh-phong-phu-ha-nam/AHn6sQLK/,"2022,9,25,13,30",soccer,vietnam,national-league-women
neo7DIDt,https://www.betexplorer.com/soccer/denmark/3rd-division/frederiksberg-alliancen-2000-naesby/neo7DIDt/,"2022,9,25,13,45",soccer,denmark,3rd-division
