ID,Link,Date,Sport,Country,League
6m8XhbMR,https://www.betexplorer.com/soccer/romania/romanian-cup/petrolul-potcoava-csm-slatina/6m8XhbMR/,"2022,9,13,15,30",soccer,romania,romanian-cup
Q9OL1S4a,https://www.betexplorer.com/soccer/romania/romanian-cup/popesti-leordeni-concordia/Q9OL1S4a/,"2022,9,13,15,30",soccer,romania,romanian-cup
AZgc9J68,https://www.betexplorer.com/soccer/romania/romanian-cup/soimii-lipova-baile-felix/AZgc9J68/,"2022,9,13,15,30",soccer,romania,romanian-cup
j34maqvG,https://www.betexplorer.com/soccer/russia/russian-cup/dynamo-moscow-akhmat-grozny/j34maqvG/,"2022,9,13,16,30",soccer,russia,russian-cup
p08oTQbq,https://www.betexplorer.com/soccer/qatar/qsl/al-duhail-al-sailiya/p08oTQbq/,"2022,9,13,17,05",soccer,qatar,qsl
0QPA5EJ9,https://www.betexplorer.com/soccer/europe/champions-league/plzen-inter/0QPA5EJ9/,"2022,9,13,18,45",soccer,europe,champions-league
x2RdYOAA,https://www.betexplorer.com/soccer/europe/champions-league/sporting-lisbon-tottenham/x2RdYOAA/,"2022,9,13,18,45",soccer,europe,champions-league
zuKNsXTb,https://www.betexplorer.com/soccer/sweden/superettan/afc-eskilstuna-brage/zuKNsXTb/,"2022,9,13,19,00",soccer,sweden,superettan
W6DWuBbB,https://www.betexplorer.com/soccer/sweden/superettan/norrby-halmstad/W6DWuBbB/,"2022,9,13,19,00",soccer,sweden,superettan
ID6gR4Te,https://www.betexplorer.com/soccer/qatar/qsl/umm-salal-al-arabi/ID6gR4Te/,"2022,9,13,19,15",soccer,qatar,qsl
8AeUpYmF,https://www.betexplorer.com/soccer/chile/primera-b/melipilla-deportes-temuco/8AeUpYmF/,"2022,9,13,20,30",soccer,chile,primera-b
hMJHkoNq,https://www.betexplorer.com/soccer/uruguay/primera-division/danubio-plaza-colonia/hMJHkoNq/,"2022,9,13,20,30",soccer,uruguay,primera-division
6qzraGGq,https://www.betexplorer.com/soccer/england/championship/blackburn-watford/6qzraGGq/,"2022,9,13,20,45",soccer,england,championship
l8PnbzWk,https://www.betexplorer.com/soccer/england/championship/huddersfield-wigan/l8PnbzWk/,"2022,9,13,20,45",soccer,england,championship
SbOjcfod,https://www.betexplorer.com/soccer/england/championship/hull-city-stoke-city/SbOjcfod/,"2022,9,13,20,45",soccer,england,championship
pCAspKUL,https://www.betexplorer.com/soccer/england/championship/middlesbrough-cardiff/pCAspKUL/,"2022,9,13,20,45",soccer,england,championship
O29oqvpS,https://www.betexplorer.com/soccer/england/championship/swansea-sheffield-utd/O29oqvpS/,"2022,9,13,20,45",soccer,england,championship
8dY1wpAD,https://www.betexplorer.com/soccer/england/league-one/barnsley-port-vale/8dY1wpAD/,"2022,9,13,20,45",soccer,england,league-one
dCRq2TnE,https://www.betexplorer.com/soccer/england/league-one/burton-portsmouth/dCRq2TnE/,"2022,9,13,20,45",soccer,england,league-one
z3Qm1m2K,https://www.betexplorer.com/soccer/england/league-one/charlton-forest-green/z3Qm1m2K/,"2022,9,13,20,45",soccer,england,league-one
IRFh07HQ,https://www.betexplorer.com/soccer/england/league-one/cheltenham-cambridge-utd/IRFh07HQ/,"2022,9,13,20,45",soccer,england,league-one
hK6KeRPs,https://www.betexplorer.com/soccer/england/league-one/ipswich-bristol-rovers/hK6KeRPs/,"2022,9,13,20,45",soccer,england,league-one
ns6Ofoul,https://www.betexplorer.com/soccer/england/league-one/lincoln-city-derby/ns6Ofoul/,"2022,9,13,20,45",soccer,england,league-one
QX4Sg5ff,https://www.betexplorer.com/soccer/england/league-one/milton-keynes-dons-bolton/QX4Sg5ff/,"2022,9,13,20,45",soccer,england,league-one
r9aXhP90,https://www.betexplorer.com/soccer/england/league-one/morecambe-sheffield-wed/r9aXhP90/,"2022,9,13,20,45",soccer,england,league-one
MabyhqP6,https://www.betexplorer.com/soccer/england/league-one/peterborough-fleetwood-town/MabyhqP6/,"2022,9,13,20,45",soccer,england,league-one
GMcui3vD,https://www.betexplorer.com/soccer/england/league-one/plymouth-oxford-utd/GMcui3vD/,"2022,9,13,20,45",soccer,england,league-one
UP1qjNgJ,https://www.betexplorer.com/soccer/england/league-one/shrewsbury-exeter/UP1qjNgJ/,"2022,9,13,20,45",soccer,england,league-one
